Mumbai,2015-07-10 17:30:00 UTC,2015-07-10 19:30:00 UTC
Mumbai,2015-07-11 17:30:00 UTC,2015-07-11 19:30:00 UTC
Mumbai,2015-07-12 17:30:00 UTC,2015-07-12 19:30:00 UTC
Mumbai,2015-07-13 17:30:00 UTC,2015-07-13 19:30:00 UTC
Mumbai,2015-07-14 17:30:00 UTC,2015-07-14 19:30:00 UTC
Mumbai,2015-07-15 17:30:00 UTC,2015-07-15 19:30:00 UTC
Mumbai,2015-07-16 17:30:00 UTC,2015-07-16 19:30:00 UTC
Mumbai,2015-07-17 17:30:00 UTC,2015-07-17 19:30:00 UTC
Mumbai,2015-07-18 17:30:00 UTC,2015-07-18 19:30:00 UTC
Mumbai,2015-07-19 17:30:00 UTC,2015-07-19 19:30:00 UTC
Mumbai,2015-07-20 17:30:00 UTC,2015-07-20 19:30:00 UTC
Mumbai,2015-07-21 17:30:00 UTC,2015-07-21 19:30:00 UTC
Mumbai,2015-07-22 17:30:00 UTC,2015-07-22 19:30:00 UTC
Mumbai,2015-07-23 17:30:00 UTC,2015-07-23 19:30:00 UTC
Mumbai,2015-07-24 17:30:00 UTC,2015-07-24 19:30:00 UTC
Mumbai,2015-07-25 17:30:00 UTC,2015-07-25 19:30:00 UTC
Mumbai,2015-07-26 17:30:00 UTC,2015-07-26 19:30:00 UTC
Mumbai,2015-07-27 17:30:00 UTC,2015-07-27 19:30:00 UTC
Mumbai,2015-07-28 17:30:00 UTC,2015-07-28 19:30:00 UTC
Mumbai,2015-07-29 17:30:00 UTC,2015-07-29 19:30:00 UTC
Mumbai,2015-07-30 17:30:00 UTC,2015-07-30 19:30:00 UTC
Mumbai,2015-07-31 17:30:00 UTC,2015-07-31 19:30:00 UTC
Mumbai,2015-08-01 17:30:00 UTC,2015-08-01 19:30:00 UTC
Mumbai,2015-08-02 17:30:00 UTC,2015-08-02 19:30:00 UTC
Mumbai,2015-08-03 17:30:00 UTC,2015-08-03 19:30:00 UTC
Mumbai,2015-08-04 17:30:00 UTC,2015-08-04 19:30:00 UTC
Mumbai,2015-08-05 17:30:00 UTC,2015-08-05 19:30:00 UTC
