Ahmedabad Airport,Ahmedabad
Shirpur,Shirpur
Baramati Airport,Pune
Gondia,Gondia
Savitri Jindal,Angul
Barbil Tonto Aerodrome,Barbil
Jallowal,Jallowal
Pilani New Airport,Pilani
Hosur Aerodrome,Hosur
Moradabad,Moradabad
Azamgarh,Azamgarh
Ghazipur Airport,Ghazipur
Grassmore,Darjeeling
Hindan Airport,Ghaziabad
AMBALA AIRPORT,Ambala
Sirsa AIRPORT,Sirsa
Udhampur Airport,Udhampur
Yelahanka Air Force Station,Yelahanka
Bidar Airport,Bidar
Ozar Airport,Nashik
Halwara Air Force Station,Ludhiana
Utterlai Airport,Barmer
Tambaram Air Force,Chennai
Sulur Air Force,Coimbatore
Bareilly Airport,Bareilly
Lucknow Air Force Station,Lucknow
Sarsawa Air Base,Saharanpur
Jhansi Airport,Jhansi
Firozpur airport,Firozpur
Barrackpore Air Force Station,Barrackpore
Panagarh Airport,Panagarh
Adampur Air Force Station,Adampur
Neemuch Airport,Neemuch
